Código Grupo;Descrição Grupo;Código SubGrupo;Descrição SubGrupo;Sequência Grupo;Descrição Categoria;Mês/Ano;Ano-Mês-Dia;Valor;Trimestre
1;1. Receitas Operacionais;01;01. Receita de Vendas de Produtos e Serviços;1;Receita de covenios;Jan/2024;2024-01-01;12033.1;1 Trimestre
1;1. Receitas Operacionais;01;01. Receita de Vendas de Produtos e Serviços;1;Receita de covenios;Fev/2024;2024-02-01;17408.85;1 Trimestre
1;1. Receitas Operacionais;01;01. Receita de Vendas de Produtos e Serviços;1;Receita de covenios;Mar/2024;2024-03-01;15079.85;1 Trimestre
1;1. Receitas Operacionais;01;01. Receita de Vendas de Produtos e Serviços;1;Receita de covenios;Abr/2024;2024-04-01;16596.85;2 Trimestre
1;1. Receitas Operacionais;01;01. Receita de Vendas de Produtos e Serviços;1;Receita de covenios;Mai/2024;2024-05-01;20597.85;2 Trimestre
1;1. Receitas Operacionais;01;01. Receita de Vendas de Produtos e Serviços;1;Receita de covenios;Jun/2024;2024-06-01;19614.15;2 Trimestre
1;1. Receitas Operacionais;01;01. Receita de Vendas de Produtos e Serviços;1;Receita de covenios;Jul/2024;2024-07-01;20284.45;3 Trimestre
1;1. Receitas Operacionais;01;01. Receita de Vendas de Produtos e Serviços;1;Receita de covenios;Ago/2024;2024-08-01;29017.35;3 Trimestre
1;1. Receitas Operacionais;01;01. Receita de Vendas de Produtos e Serviços;1;Receita de covenios;Set/2024;2024-09-01;29822.1;3 Trimestre
1;1. Receitas Operacionais;01;01. Receita de Vendas de Produtos e Serviços;1;Receita de covenios;Out/2024;2024-10-01;0.0;4 Trimestre
1;1. Receitas Operacionais;01;01. Receita de Vendas de Produtos e Serviços;2;Receitas de Serviços Cartão C/D;Jan/2024;2024-01-01;134703.5;1 Trimestre
1;1. Receitas Operacionais;01;01. Receita de Vendas de Produtos e Serviços;2;Receitas de Serviços Cartão C/D;Fev/2024;2024-02-01;137495.4;1 Trimestre
1;1. Receitas Operacionais;01;01. Receita de Vendas de Produtos e Serviços;2;Receitas de Serviços Cartão C/D;Mar/2024;2024-03-01;172943.1;1 Trimestre
1;1. Receitas Operacionais;01;01. Receita de Vendas de Produtos e Serviços;2;Receitas de Serviços Cartão C/D;Abr/2024;2024-04-01;187488.17;2 Trimestre
1;1. Receitas Operacionais;01;01. Receita de Vendas de Produtos e Serviços;2;Receitas de Serviços Cartão C/D;Mai/2024;2024-05-01;176369.87;2 Trimestre
1;1. Receitas Operacionais;01;01. Receita de Vendas de Produtos e Serviços;2;Receitas de Serviços Cartão C/D;Jun/2024;2024-06-01;158774.65;2 Trimestre
1;1. Receitas Operacionais;01;01. Receita de Vendas de Produtos e Serviços;2;Receitas de Serviços Cartão C/D;Jul/2024;2024-07-01;200797.9;3 Trimestre
1;1. Receitas Operacionais;01;01. Receita de Vendas de Produtos e Serviços;2;Receitas de Serviços Cartão C/D;Ago/2024;2024-08-01;171656.4;3 Trimestre
1;1. Receitas Operacionais;01;01. Receita de Vendas de Produtos e Serviços;2;Receitas de Serviços Cartão C/D;Set/2024;2024-09-01;155382.15;3 Trimestre
1;1. Receitas Operacionais;01;01. Receita de Vendas de Produtos e Serviços;2;Receitas de Serviços Cartão C/D;Out/2024;2024-10-01;6946.75;4 Trimestre
1;1. Receitas Operacionais;01;01. Receita de Vendas de Produtos e Serviços;3;Receitas de Serviços em Espécie;Jan/2024;2024-01-01;63737.0;1 Trimestre
1;1. Receitas Operacionais;01;01. Receita de Vendas de Produtos e Serviços;3;Receitas de Serviços em Espécie;Fev/2024;2024-02-01;48057.5;1 Trimestre
1;1. Receitas Operacionais;01;01. Receita de Vendas de Produtos e Serviços;3;Receitas de Serviços em Espécie;Mar/2024;2024-03-01;59522.0;1 Trimestre
1;1. Receitas Operacionais;01;01. Receita de Vendas de Produtos e Serviços;3;Receitas de Serviços em Espécie;Abr/2024;2024-04-01;71457.9;2 Trimestre
1;1. Receitas Operacionais;01;01. Receita de Vendas de Produtos e Serviços;3;Receitas de Serviços em Espécie;Mai/2024;2024-05-01;74474.0;2 Trimestre
1;1. Receitas Operacionais;01;01. Receita de Vendas de Produtos e Serviços;3;Receitas de Serviços em Espécie;Jun/2024;2024-06-01;62870.0;2 Trimestre
1;1. Receitas Operacionais;01;01. Receita de Vendas de Produtos e Serviços;3;Receitas de Serviços em Espécie;Jul/2024;2024-07-01;74952.0;3 Trimestre
1;1. Receitas Operacionais;01;01. Receita de Vendas de Produtos e Serviços;3;Receitas de Serviços em Espécie;Ago/2024;2024-08-01;65176.25;3 Trimestre
1;1. Receitas Operacionais;01;01. Receita de Vendas de Produtos e Serviços;3;Receitas de Serviços em Espécie;Set/2024;2024-09-01;66342.5;3 Trimestre
1;1. Receitas Operacionais;01;01. Receita de Vendas de Produtos e Serviços;3;Receitas de Serviços em Espécie;Out/2024;2024-10-01;0.0;4 Trimestre
1;1. Receitas Operacionais;01;01. Receita de Vendas de Produtos e Serviços;4;Receitas de Serviços PIX;Jan/2024;2024-01-01;19096.5;1 Trimestre
1;1. Receitas Operacionais;01;01. Receita de Vendas de Produtos e Serviços;4;Receitas de Serviços PIX;Fev/2024;2024-02-01;8823.19;1 Trimestre
1;1. Receitas Operacionais;01;01. Receita de Vendas de Produtos e Serviços;4;Receitas de Serviços PIX;Mar/2024;2024-03-01;13016.1;1 Trimestre
1;1. Receitas Operacionais;01;01. Receita de Vendas de Produtos e Serviços;4;Receitas de Serviços PIX;Abr/2024;2024-04-01;11762.75;2 Trimestre
1;1. Receitas Operacionais;01;01. Receita de Vendas de Produtos e Serviços;4;Receitas de Serviços PIX;Mai/2024;2024-05-01;6536.5;2 Trimestre
1;1. Receitas Operacionais;01;01. Receita de Vendas de Produtos e Serviços;4;Receitas de Serviços PIX;Jun/2024;2024-06-01;8424.25;2 Trimestre
1;1. Receitas Operacionais;01;01. Receita de Vendas de Produtos e Serviços;4;Receitas de Serviços PIX;Jul/2024;2024-07-01;14814.9;3 Trimestre
1;1. Receitas Operacionais;01;01. Receita de Vendas de Produtos e Serviços;4;Receitas de Serviços PIX;Ago/2024;2024-08-01;6164.0;3 Trimestre
1;1. Receitas Operacionais;01;01. Receita de Vendas de Produtos e Serviços;4;Receitas de Serviços PIX;Set/2024;2024-09-01;9516.0;3 Trimestre
1;1. Receitas Operacionais;01;01. Receita de Vendas de Produtos e Serviços;4;Receitas de Serviços PIX;Out/2024;2024-10-01;0.0;4 Trimestre
2;2. Deduções da Receita Bruta;01;01. Impostos Sobre Vendas;1;COFINS;Jan/2024;2024-01-01;0.0;1 Trimestre
2;2. Deduções da Receita Bruta;01;01. Impostos Sobre Vendas;1;COFINS;Fev/2024;2024-02-01;-2110.03;1 Trimestre
2;2. Deduções da Receita Bruta;01;01. Impostos Sobre Vendas;1;COFINS;Mar/2024;2024-03-01;-1187.39;1 Trimestre
2;2. Deduções da Receita Bruta;01;01. Impostos Sobre Vendas;1;COFINS;Abr/2024;2024-04-01;-1453.16;2 Trimestre
2;2. Deduções da Receita Bruta;01;01. Impostos Sobre Vendas;1;COFINS;Mai/2024;2024-05-01;-1597.72;2 Trimestre
2;2. Deduções da Receita Bruta;01;01. Impostos Sobre Vendas;1;COFINS;Jun/2024;2024-06-01;-1427.61;2 Trimestre
2;2. Deduções da Receita Bruta;01;01. Impostos Sobre Vendas;1;COFINS;Jul/2024;2024-07-01;-1314.38;3 Trimestre
2;2. Deduções da Receita Bruta;01;01. Impostos Sobre Vendas;1;COFINS;Ago/2024;2024-08-01;-1825.91;3 Trimestre
2;2. Deduções da Receita Bruta;01;01. Impostos Sobre Vendas;1;COFINS;Set/2024;2024-09-01;-1269.55;3 Trimestre
2;2. Deduções da Receita Bruta;01;01. Impostos Sobre Vendas;1;COFINS;Out/2024;2024-10-01;0.0;4 Trimestre
2;2. Deduções da Receita Bruta;01;01. Impostos Sobre Vendas;2;CSL;Jan/2024;2024-01-01;0.0;1 Trimestre
2;2. Deduções da Receita Bruta;01;01. Impostos Sobre Vendas;2;CSL;Fev/2024;2024-02-01;0.0;1 Trimestre
2;2. Deduções da Receita Bruta;01;01. Impostos Sobre Vendas;2;CSL;Mar/2024;2024-03-01;0.0;1 Trimestre
2;2. Deduções da Receita Bruta;01;01. Impostos Sobre Vendas;2;CSL;Abr/2024;2024-04-01;-1710.07;2 Trimestre
2;2. Deduções da Receita Bruta;01;01. Impostos Sobre Vendas;2;CSL;Mai/2024;2024-05-01;0.0;2 Trimestre
2;2. Deduções da Receita Bruta;01;01. Impostos Sobre Vendas;2;CSL;Jun/2024;2024-06-01;0.0;2 Trimestre
2;2. Deduções da Receita Bruta;01;01. Impostos Sobre Vendas;2;CSL;Jul/2024;2024-07-01;0.0;3 Trimestre
2;2. Deduções da Receita Bruta;01;01. Impostos Sobre Vendas;2;CSL;Ago/2024;2024-08-01;0.0;3 Trimestre
2;2. Deduções da Receita Bruta;01;01. Impostos Sobre Vendas;2;CSL;Set/2024;2024-09-01;0.0;3 Trimestre
2;2. Deduções da Receita Bruta;01;01. Impostos Sobre Vendas;2;CSL;Out/2024;2024-10-01;0.0;4 Trimestre
2;2. Deduções da Receita Bruta;01;01. Impostos Sobre Vendas;3;IRPJ;Jan/2024;2024-01-01;0.0;1 Trimestre
2;2. Deduções da Receita Bruta;01;01. Impostos Sobre Vendas;3;IRPJ;Fev/2024;2024-02-01;0.0;1 Trimestre
2;2. Deduções da Receita Bruta;01;01. Impostos Sobre Vendas;3;IRPJ;Mar/2024;2024-03-01;0.0;1 Trimestre
2;2. Deduções da Receita Bruta;01;01. Impostos Sobre Vendas;3;IRPJ;Abr/2024;2024-04-01;-1900.08;2 Trimestre
2;2. Deduções da Receita Bruta;01;01. Impostos Sobre Vendas;3;IRPJ;Mai/2024;2024-05-01;0.0;2 Trimestre
2;2. Deduções da Receita Bruta;01;01. Impostos Sobre Vendas;3;IRPJ;Jun/2024;2024-06-01;0.0;2 Trimestre
2;2. Deduções da Receita Bruta;01;01. Impostos Sobre Vendas;3;IRPJ;Jul/2024;2024-07-01;-1735.88;3 Trimestre
2;2. Deduções da Receita Bruta;01;01. Impostos Sobre Vendas;3;IRPJ;Ago/2024;2024-08-01;0.0;3 Trimestre
2;2. Deduções da Receita Bruta;01;01. Impostos Sobre Vendas;3;IRPJ;Set/2024;2024-09-01;0.0;3 Trimestre
2;2. Deduções da Receita Bruta;01;01. Impostos Sobre Vendas;3;IRPJ;Out/2024;2024-10-01;0.0;4 Trimestre
